Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_33_330,VPWR,li1,155.0200,92.4800,1.799999
FILLER_33_327,VPWR,li1,153.8700,92.4800,1.799999
FILLER_33_324,VPWR,li1,152.4900,92.4800,1.799999
FILLER_33_321,VPWR,li1,151.1100,92.4800,1.799999
FILLER_33_318,VPWR,li1,149.7300,92.4800,1.799999
FILLER_33_315,VPWR,li1,148.3500,92.4800,1.799999
FILLER_33_312,VPWR,li1,146.9700,92.4800,1.799999
FILLER_33_309,VPWR,li1,145.5900,92.4800,1.799999
FILLER_33_305,VPWR,li1,143.7500,92.4800,1.799999
FILLER_33_302,VPWR,li1,142.3700,92.4800,1.799999
FILLER_33_299,VPWR,li1,140.9900,92.4800,1.799999
FILLER_33_296,VPWR,li1,139.6100,92.4800,1.799999
FILLER_33_293,VPWR,li1,138.2300,92.4800,1.799999
FILLER_33_290,VPWR,li1,136.8500,92.4800,1.799999
FILLER_33_287,VPWR,li1,135.4700,92.4800,1.799999
FILLER_33_284,VPWR,li1,134.0900,92.4800,1.799999
FILLER_33_281,VPWR,li1,132.7100,92.4800,1.799999
FILLER_33_278,VPWR,li1,131.1000,92.4800,1.799999
FILLER_33_275,VPWR,li1,129.9500,92.4800,1.799999
FILLER_33_272,VPWR,li1,128.5700,92.4800,1.799999
FILLER_33_269,VPWR,li1,127.1900,92.4800,1.799999
FILLER_33_266,VPWR,li1,125.8100,92.4800,1.799999
FILLER_33_263,VPWR,li1,124.4300,92.4800,1.799999
FILLER_33_260,VPWR,li1,123.0500,92.4800,1.799999
FILLER_33_257,VPWR,li1,121.6700,92.4800,1.799999
FILLER_33_253,VPWR,li1,119.3700,92.4800,1.799999
FILLER_33_249,VPWR,li1,117.9900,92.4800,1.799998
FILLER_33_246,VPWR,li1,116.6100,92.4800,1.799998
FILLER_33_243,VPWR,li1,115.2300,92.4800,1.799998
FILLER_33_240,VPWR,li1,113.8500,92.4800,1.799998
FILLER_33_237,VPWR,li1,112.4700,92.4800,1.799998
FILLER_33_234,VPWR,li1,111.0900,92.4800,1.799998
FILLER_33_231,VPWR,li1,109.7100,92.4800,1.799998
FILLER_33_228,VPWR,li1,108.3300,92.4800,1.799998
FILLER_33_225,VPWR,li1,106.9500,92.4800,1.799998
FILLER_33_222,VPWR,li1,105.3400,92.4800,1.799998
FILLER_33_219,VPWR,li1,104.1900,92.4800,1.799998
FILLER_33_216,VPWR,li1,102.8100,92.4800,1.799998
FILLER_33_213,VPWR,li1,101.4300,92.4800,1.799998
FILLER_33_210,VPWR,li1,100.0500,92.4800,1.799997
FILLER_33_207,VPWR,li1,98.6700,92.4800,1.799997
FILLER_33_204,VPWR,li1,97.2900,92.4800,1.799997
FILLER_33_201,VPWR,li1,95.9100,92.4800,1.799997
FILLER_33_197,VPWR,li1,93.6100,92.4800,1.799996
FILLER_33_194,VPWR,li1,92.4600,92.4800,1.799996
FILLER_33_189,VPWR,li1,90.1600,92.4800,1.799995
FILLER_33_186,VPWR,li1,89.0100,92.4800,1.799994
FILLER_33_169,VPWR,li1,80.7300,92.4800,1.799994
FILLER_33_166,VPWR,li1,79.5800,92.4800,1.799994
FILLER_33_147,VPWR,li1,70.8400,92.4800,1.799995
FILLER_33_144,VPWR,li1,69.6900,92.4800,1.799995
FILLER_33_141,VPWR,li1,68.3100,92.4800,1.799995
FILLER_33_138,VPWR,li1,66.7000,92.4800,1.799995
FILLER_33_135,VPWR,li1,65.5500,92.4800,1.799996
FILLER_33_132,VPWR,li1,64.1700,92.4800,1.799996
FILLER_33_129,VPWR,li1,62.7900,92.4800,1.799996
FILLER_33_126,VPWR,li1,61.4100,92.4800,1.799997
FILLER_33_123,VPWR,li1,60.0300,92.4800,1.799997
FILLER_33_120,VPWR,li1,58.6500,92.4800,1.799997
FILLER_33_117,VPWR,li1,57.2700,92.4800,1.799998
FILLER_33_113,VPWR,li1,54.9700,92.4800,1.799998
FILLER_33_110,VPWR,li1,53.8200,92.4800,1.799998
FILLER_33_104,VPWR,li1,51.2900,92.4800,1.799998
FILLER_33_101,VPWR,li1,49.9100,92.4800,1.799998
FILLER_33_98,VPWR,li1,48.5300,92.4800,1.799998
FILLER_33_95,VPWR,li1,47.1500,92.4800,1.799998
FILLER_33_92,VPWR,li1,45.7700,92.4800,1.799999
FILLER_33_89,VPWR,li1,44.3900,92.4800,1.799999
FILLER_33_85,VPWR,li1,42.0900,92.4800,1.799999
FILLER_33_81,VPWR,li1,40.7100,92.4800,1.799999
FILLER_33_78,VPWR,li1,39.3300,92.4800,1.799999
FILLER_33_75,VPWR,li1,37.9500,92.4800,1.799999
FILLER_33_72,VPWR,li1,36.5700,92.4800,1.799999
FILLER_33_69,VPWR,li1,35.1900,92.4800,1.799999
FILLER_33_66,VPWR,li1,33.8100,92.4800,1.799999
FILLER_33_63,VPWR,li1,32.4300,92.4800,1.799999
FILLER_33_60,VPWR,li1,31.0500,92.4800,1.799999
FILLER_33_57,VPWR,li1,29.6700,92.4800,1.799999
FILLER_33_53,VPWR,li1,27.8300,92.4800,1.799999
FILLER_33_50,VPWR,li1,26.4500,92.4800,1.799999
FILLER_33_47,VPWR,li1,25.0700,92.4800,1.799999
FILLER_33_44,VPWR,li1,23.6900,92.4800,1.799999
FILLER_33_41,VPWR,li1,22.3100,92.4800,1.799999
FILLER_33_38,VPWR,li1,20.9300,92.4800,1.799999
FILLER_33_35,VPWR,li1,19.5500,92.4800,1.800000
FILLER_33_32,VPWR,li1,18.1700,92.4800,1.800000
FILLER_33_29,VPWR,li1,16.7900,92.4800,1.800000
FILLER_33_27,VPWR,li1,15.4100,92.4800,1.800000
FILLER_33_24,VPWR,li1,14.4900,92.4800,1.800000
FILLER_33_21,VPWR,li1,13.1100,92.4800,1.800000
FILLER_33_18,VPWR,li1,11.7300,92.4800,1.800000
FILLER_33_15,VPWR,li1,10.3500,92.4800,1.800000
FILLER_33_12,VPWR,li1,8.9700,92.4800,1.800000
FILLER_33_9,VPWR,li1,7.5900,92.4800,1.800000
FILLER_33_6,VPWR,li1,6.2100,92.4800,1.800000
FILLER_33_3,VPWR,li1,4.8300,92.4800,1.800000
FILLER_32_330,VPWR,li1,155.0200,92.4800,1.799999
FILLER_32_327,VPWR,li1,153.8700,92.4800,1.799999
FILLER_32_324,VPWR,li1,152.4900,92.4800,1.799999
FILLER_32_321,VPWR,li1,151.1100,92.4800,1.799999
FILLER_32_318,VPWR,li1,149.7300,92.4800,1.799999
FILLER_32_315,VPWR,li1,148.3500,92.4800,1.799999
FILLER_32_312,VPWR,li1,146.9700,92.4800,1.799999
FILLER_32_309,VPWR,li1,145.5900,92.4800,1.799999
FILLER_32_307,VPWR,li1,144.2100,92.4800,1.799999
