Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_22_270,VDD,Metal1,154.8400,94.0800,4.999999
FILLER_22_268,VDD,Metal1,154.0000,94.0800,4.999999
FILLER_22_264,VDD,Metal1,152.7000,93.6475,4.999999
FILLER_22_256,VDD,Metal1,149.4665,93.5030,4.999999
FILLER_22_240,VDD,Metal1,142.8480,93.3880,4.999999
FILLER_22_206,VDD,Metal1,128.3555,93.3110,4.999999
FILLER_22_203,VDD,Metal1,117.3200,94.0800,4.999999
FILLER_22_197,VDD,Metal1,114.2400,94.0800,4.999999
FILLER_22_191,VDD,Metal1,110.8800,94.0800,4.999999
FILLER_22_185,VDD,Metal1,107.5200,94.0800,4.999999
FILLER_22_180,VDD,Metal1,104.4400,94.0800,4.999999
FILLER_22_169,VDD,Metal1,98.2800,94.0800,4.999999
FILLER_22_167,VDD,Metal1,97.4400,94.0800,4.999999
FILLER_22_161,VDD,Metal1,94.0800,94.0800,4.999999
FILLER_22_155,VDD,Metal1,90.7200,94.0800,4.999999
FILLER_22_138,VDD,Metal1,80.9200,94.0800,4.999998
FILLER_22_129,VDD,Metal1,75.8800,94.0800,4.999998
FILLER_22_127,VDD,Metal1,75.0400,94.0800,4.999998
FILLER_22_119,VDD,Metal1,70.5600,94.0800,4.999998
FILLER_22_114,VDD,Metal1,67.4800,94.0800,4.999999
FILLER_22_112,VDD,Metal1,66.6400,94.0800,4.999999
FILLER_22_104,VDD,Metal1,64.3465,93.5030,4.999999
FILLER_22_101,VDD,Metal1,60.2000,94.0800,4.999999
FILLER_22_99,VDD,Metal1,59.3600,94.0800,4.999999
FILLER_22_83,VDD,Metal1,54.9280,93.3880,4.999999
FILLER_22_78,VDD,Metal1,47.3200,94.0800,4.999999
FILLER_22_70,VDD,Metal1,45.3065,93.5030,4.999999
FILLER_22_36,VDD,Metal1,33.1555,93.3110,4.999999
FILLER_22_2,VDD,Metal1,14.1155,93.3110,4.999999
FILLER_21_266,VDD,Metal1,152.6000,86.2400,5.000000
FILLER_21_264,VDD,Metal1,151.7600,86.2400,5.000000
FILLER_21_260,VDD,Metal1,150.4600,86.6725,5.000000
FILLER_21_244,VDD,Metal1,145.0880,86.9320,5.000000
FILLER_21_212,VDD,Metal1,131.7155,87.0085,5.000000
FILLER_21_206,VDD,Metal1,120.2200,86.6725,5.000000
FILLER_21_142,VDD,Metal1,101.5150,87.0540,5.000000
FILLER_21_136,VDD,Metal1,81.0200,86.6725,5.000000
FILLER_21_72,VDD,Metal1,62.3150,87.0540,5.000000
FILLER_21_66,VDD,Metal1,41.8200,86.6725,5.000000
FILLER_21_2,VDD,Metal1,23.1150,87.0540,5.000000
FILLER_20_263,VDD,Metal1,153.3865,85.6630,5.000000
FILLER_20_247,VDD,Metal1,146.7680,85.5480,5.000000
FILLER_20_241,VDD,Metal1,139.8200,85.8075,5.000000
FILLER_20_177,VDD,Metal1,121.1150,85.4255,5.000000
FILLER_20_171,VDD,Metal1,100.6200,85.8075,5.000000
FILLER_20_107,VDD,Metal1,81.9150,85.4255,5.000000
FILLER_20_101,VDD,Metal1,61.4200,85.8075,5.000000
FILLER_20_37,VDD,Metal1,42.7150,85.4255,5.000000
FILLER_20_34,VDD,Metal1,22.6800,86.2400,5.000000
FILLER_20_2,VDD,Metal1,14.1155,85.4710,5.000000
FILLER_19_266,VDD,Metal1,152.6000,78.4000,5.000000
FILLER_19_264,VDD,Metal1,151.7600,78.4000,5.000000
FILLER_19_260,VDD,Metal1,150.4600,78.8325,5.000000
FILLER_19_244,VDD,Metal1,145.0880,79.0920,5.000000
FILLER_19_212,VDD,Metal1,131.7155,79.1685,5.000000
FILLER_19_206,VDD,Metal1,120.2200,78.8325,5.000000
FILLER_19_142,VDD,Metal1,101.5150,79.2140,5.000000
FILLER_19_136,VDD,Metal1,81.0200,78.8325,5.000000
FILLER_19_72,VDD,Metal1,62.3150,79.2140,5.000000
FILLER_19_66,VDD,Metal1,41.8200,78.8325,5.000000
FILLER_19_2,VDD,Metal1,23.1150,79.2140,5.000000
FILLER_18_263,VDD,Metal1,153.3865,77.8230,5.000000
