net,length_um
net17,186.12µm
_099_,166.11µm
net16,166.11µm
net13,158.58µm
_084_,137.25µm
net14,136.23µm
net12,122.79µm
net15,118.54µm
clknet_1_0__leaf_clk,98.2µm
_076_,80.23µm
clk_scaled,80.23µm
signal_gen.tonegenA.counter\[0\],74.53µm
clknet_1_1__leaf_clk,71.73µm
signal_gen.tonegenA.counter\[3\],62.92µm
signal_gen.periodA\[3\],60.02µm
signal_bit_out,59.22µm
signal_gen.tonegenA.counter\[1\],53.25µm
_109_,52.74µm
signal_gen.tonegenA.counter\[2\],48.77µm
net9,48.21µm
signal_gen.periodA\[4\],43.73µm
clk_scaler.counter\[3\],43.17µm
clk_scaler.counter\[2\],42.15µm
signal_gen.enableA,42µm
clk_scaler.counter\[0\],38.13µm
_086_,37.67µm
clk_scaler.counter\[10\],35.89µm
clknet_0_clk,34.77µm
_064_,34.31µm
clk,34.02µm
_088_,33.14µm
_112_,32.68µm
signal_gen.tonegenA.counter\[6\],31.51µm
clk_scaler.counter\[1\],31µm
signal_gen.tonegenA.counter\[5\],30.9µm
signal_gen.periodA\[2\],29.78µm
_058_,29.73µm
signal_gen.tonegenA.counter\[11\],28µm
_078_,27.44µm
_037_,26.88µm
_101_,26.88µm
_054_,26.32µm
_113_,26.32µm
_072_,25.76µm
net3,25.76µm
net6,24.69µm
net4,24.64µm
_114_,24.18µm
_110_,23.85µm
_111_,23.67µm
signal_gen.tonegenA.counter\[4\],22.6µm
_080_,22.5µm
_073_,22.4µm
_059_,21.28µm
signal_gen.tonegenA.counter\[10\],21.28µm
_083_,20.77µm
net7,20.77µm
_065_,20.21µm
_108_,19.65µm
_074_,19.6µm
_068_,18.53µm
_051_,17.97µm
_092_,17.92µm
net2,17.41µm
net10,17.36µm
signal_gen.periodA\[0\],16.29µm
net5,16.29µm
clk_scaler.counter\[7\],16.24µm
_077_,15.73µm
net27,15.12µm
clk_scaler.counter\[4\],15.12µm
_057_,14µm
_098_,13.54µm
_049_,13.49µm
_050_,12.98µm
clk_scaler.counter\[6\],12.98µm
net24,12.93µm
net23,12.88µm
_048_,12.37µm
clk_scaler.counter\[5\],12.37µm
clk_scaler.counter\[9\],12.37µm
signal_gen.tonegenA.counter\[8\],12.37µm
_079_,11.81µm
_103_,11.81µm
_090_,11.76µm
net1,11.76µm
signal_gen.periodA\[1\],11.3µm
_016_,11.25µm
_055_,11.25µm
_063_,10.69µm
net25,10.64µm
_062_,10.64µm
_082_,10.18µm
_040_,10.13µm
_044_,10.13µm
_066_,9.67µm
_070_,9.57µm
_060_,9.52µm
signal_gen.tonegenA.counter\[9\],9.06µm
_042_,9.01µm
_018_,8.96µm
_056_,8.96µm
data_in[4],8.82µm
_115_,8.55µm
_096_,8.5µm
_006_,8.4µm
_045_,8.4µm
net18,8.4µm
write_strobe_in,8.31µm
_047_,7.89µm
_087_,7.84µm
clk_scaler.counter\[11\],7.84µm
address_in[1],7.7µm
_107_,7.38µm
clk_scaler.counter\[8\],7.38µm
_004_,7.33µm
_039_,7.33µm
_015_,7.28µm
_043_,7.28µm
_089_,7.28µm
address_in[0],7.14µm
address_in[2],7.14µm
data_in[1],7.14µm
_105_,6.77µm
_005_,6.72µm
net19,6.72µm
_021_,6.72µm
_041_,6.72µm
_067_,6.72µm
ena,6.58µm
rst_n,6.58µm
_091_,6.21µm
net26,6.16µm
_012_,6.16µm
_019_,5.65µm
net22,5.65µm
net21,5.6µm
_104_,5.6µm
data_in[3],5.46µm
_003_,5.09µm
_038_,5.09µm
_028_,5.04µm
_033_,5.04µm
_046_,5.04µm
_094_,5.04µm
_095_,5.04µm
signal_gen.tonegenA.counter\[7\],5.04µm
data_in[0],4.9µm
data_in[2],4.9µm
net20,4.48µm
_020_,4.48µm
_025_,4.48µm
_052_,4.48µm
_053_,4.48µm
_075_,4.48µm
_093_,4.48µm
net8,4.48µm
_027_,4.02µm
_029_,4.02µm
_030_,4.02µm
_081_,4.02µm
_017_,3.92µm
_069_,3.46µm
_035_,3.36µm
_071_,3.36µm
_097_,3.36µm
_000_,2.8µm
_007_,2.8µm
_024_,2.24µm
_032_,2.24µm
_085_,2.24µm
net11,2.24µm
_026_,1.68µm
_031_,1.68µm
_034_,1.68µm
_036_,1.68µm
_106_,1.68µm
_061_,1.12µm
_100_,1.12µm
_102_,1.12µm
