Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_22_270,VSS,Metal1,154.8400,90.1600,0.000057
FILLER_22_266,VSS,Metal1,153.0600,90.5085,0.000057
FILLER_22_258,VSS,Metal1,149.5730,90.6215,0.000057
FILLER_22_222,VSS,Metal1,128.2400,90.1600,0.000057
FILLER_22_202,VSS,Metal1,117.0400,90.1600,0.000094
FILLER_22_180,VSS,Metal1,104.9000,90.5085,0.000094
FILLER_22_172,VSS,Metal1,101.4130,90.6215,0.000094
FILLER_22_169,VSS,Metal1,98.2800,90.1600,0.000094
FILLER_22_167,VSS,Metal1,97.4400,90.1600,0.000094
FILLER_22_158,VSS,Metal1,92.1200,90.1600,0.000091
FILLER_22_146,VSS,Metal1,85.8600,90.5085,0.000086
FILLER_22_138,VSS,Metal1,82.3730,90.6215,0.000082
FILLER_22_135,VSS,Metal1,79.2400,90.1600,0.000074
FILLER_22_133,VSS,Metal1,78.4000,90.1600,0.000074
FILLER_22_129,VSS,Metal1,76.3400,90.5085,0.000074
FILLER_22_121,VSS,Metal1,72.8530,90.6215,0.000066
FILLER_22_108,VSS,Metal1,64.1200,90.1600,0.000063
FILLER_22_104,VSS,Metal1,62.3400,90.5085,0.000063
FILLER_22_70,VSS,Metal1,50.8440,90.7575,0.000065
FILLER_22_36,VSS,Metal1,31.8040,90.7575,0.000060
FILLER_22_2,VSS,Metal1,12.7640,90.7575,0.000060
FILLER_21_269,VSS,Metal1,154.5600,90.1600,0.000057
FILLER_21_261,VSS,Metal1,151.2530,89.6980,0.000057
FILLER_21_218,VSS,Metal1,125.7200,90.1600,0.000060
FILLER_21_209,VSS,Metal1,120.6800,90.1600,0.000094
FILLER_21_157,VSS,Metal1,91.8400,90.1600,0.000091
FILLER_21_149,VSS,Metal1,88.5330,89.6980,0.000090
FILLER_21_144,VSS,Metal1,84.2800,90.1600,0.000082
FILLER_21_142,VSS,Metal1,83.4400,90.1600,0.000082
FILLER_21_136,VSS,Metal1,80.2600,89.8110,0.000080
FILLER_21_128,VSS,Metal1,76.7730,89.6980,0.000074
FILLER_21_84,VSS,Metal1,50.9600,90.1600,0.000065
FILLER_21_80,VSS,Metal1,48.9000,89.8110,0.000065
FILLER_21_72,VSS,Metal1,45.4130,89.6980,0.000065
FILLER_21_66,VSS,Metal1,41.0600,89.8110,0.000062
FILLER_21_2,VSS,Metal1,21.6845,89.5220,0.000060
FILLER_20_270,VSS,Metal1,154.8400,82.3200,0.000118
FILLER_20_266,VSS,Metal1,153.0600,82.6685,0.000118
FILLER_20_140,VSS,Metal1,82.0400,82.3200,0.000088
FILLER_20_138,VSS,Metal1,81.2000,82.3200,0.000080
FILLER_20_130,VSS,Metal1,77.8930,82.7815,0.000080
FILLER_20_103,VSS,Metal1,61.6000,82.3200,0.000078
FILLER_20_65,VSS,Metal1,40.3200,82.3200,0.000075
FILLER_20_61,VSS,Metal1,38.2600,82.6685,0.000075
FILLER_20_53,VSS,Metal1,34.7730,82.7815,0.000075
FILLER_20_37,VSS,Metal1,27.9520,82.8680,0.000073
FILLER_20_34,VSS,Metal1,22.6800,82.3200,0.000073
FILLER_20_2,VSS,Metal1,12.7640,82.9175,0.000073
FILLER_19_269,VSS,Metal1,154.5600,82.3200,0.000118
FILLER_19_265,VSS,Metal1,152.5000,81.9710,0.000118
FILLER_19_214,VSS,Metal1,123.4800,82.3200,0.000118
FILLER_19_212,VSS,Metal1,122.6400,82.3200,0.000114
FILLER_19_208,VSS,Metal1,120.4000,82.3200,0.000110
FILLER_19_146,VSS,Metal1,85.6800,82.3200,0.000091
FILLER_19_142,VSS,Metal1,83.6200,81.9710,0.000090
FILLER_19_139,VSS,Metal1,81.4800,82.3200,0.000080
FILLER_19_137,VSS,Metal1,80.6400,82.3200,0.000080
FILLER_19_133,VSS,Metal1,78.5800,81.9710,0.000080
FILLER_19_117,VSS,Metal1,69.1600,82.3200,0.000079
FILLER_19_80,VSS,Metal1,48.4400,82.3200,0.000078
FILLER_19_72,VSS,Metal1,45.4130,81.8580,0.000078
FILLER_19_46,VSS,Metal1,29.4000,82.3200,0.000073
FILLER_19_42,VSS,Metal1,27.6200,81.9710,0.000073
FILLER_19_34,VSS,Metal1,24.1330,81.8580,0.000073
FILLER_19_2,VSS,Metal1,12.7640,81.7220,0.000073
FILLER_18_270,VSS,Metal1,154.8400,74.4800,0.000095
FILLER_18_268,VSS,Metal1,154.0000,74.4800,0.000095
FILLER_18_260,VSS,Metal1,150.6930,74.9415,0.000095
FILLER_18_181,VSS,Metal1,105.0000,74.4800,0.000094
FILLER_18_177,VSS,Metal1,103.2200,74.8285,0.000094
FILLER_18_174,VSS,Metal1,101.0800,74.4800,0.000094
FILLER_18_172,VSS,Metal1,100.2400,74.4800,0.000094
FILLER_18_156,VSS,Metal1,94.5920,75.0280,0.000094
FILLER_18_89,VSS,Metal1,53.4800,74.4800,0.000083
FILLER_18_87,VSS,Metal1,52.6400,74.4800,0.000083
FILLER_18_49,VSS,Metal1,31.3600,74.4800,0.000082
FILLER_18_45,VSS,Metal1,29.3000,74.8285,0.000082
FILLER_18_37,VSS,Metal1,25.8130,74.9415,0.000082
FILLER_18_34,VSS,Metal1,22.6800,74.4800,0.000082
FILLER_18_2,VSS,Metal1,12.7640,75.0775,0.000082
FILLER_17_270,VSS,Metal1,154.8400,74.4800,0.000095
FILLER_17_262,VSS,Metal1,151.8130,74.0180,0.000095
FILLER_17_246,VSS,Metal1,144.9920,73.9320,0.000095
FILLER_17_196,VSS,Metal1,113.4000,74.4800,0.000096
FILLER_17_189,VSS,Metal1,109.4800,74.4800,0.000096
FILLER_17_157,VSS,Metal1,99.5640,73.8820,0.000094
FILLER_17_138,VSS,Metal1,81.2000,74.4800,0.000089
FILLER_17_122,VSS,Metal1,71.9600,74.4800,0.000089
FILLER_17_120,VSS,Metal1,71.1200,74.4800,0.000089
FILLER_17_116,VSS,Metal1,69.0600,74.1310,0.000089
FILLER_17_108,VSS,Metal1,65.5730,74.0180,0.000088
FILLER_17_92,VSS,Metal1,58.7520,73.9320,0.000083
FILLER_17_69,VSS,Metal1,42.2800,74.4800,0.000083
FILLER_17_67,VSS,Metal1,41.4400,74.4800,0.000083
FILLER_17_63,VSS,Metal1,39.3800,74.1310,0.000083
FILLER_17_28,VSS,Metal1,19.3200,74.4800,0.000082
FILLER_17_26,VSS,Metal1,18.4800,74.4800,0.000082
FILLER_17_18,VSS,Metal1,15.1730,74.0180,0.000082
FILLER_17_2,VSS,Metal1,8.3520,73.9320,0.000082
FILLER_16_263,VSS,Metal1,152.3730,67.1015,0.000063
FILLER_16_247,VSS,Metal1,145.5520,67.1880,0.000063
FILLER_16_244,VSS,Metal1,140.2800,66.6400,0.000063
FILLER_16_242,VSS,Metal1,139.4400,66.6400,0.000063
FILLER_16_238,VSS,Metal1,137.3800,66.9885,0.000063
FILLER_16_193,VSS,Metal1,111.7200,66.6400,0.000063
FILLER_16_177,VSS,Metal1,106.3520,67.1880,0.000063
FILLER_16_174,VSS,Metal1,101.0800,66.6400,0.000063
FILLER_16_172,VSS,Metal1,100.2400,66.6400,0.000063
FILLER_16_168,VSS,Metal1,98.1800,66.9885,0.000063
FILLER_16_160,VSS,Metal1,94.6930,67.1015,0.000063
FILLER_16_123,VSS,Metal1,72.5200,66.6400,0.000063
FILLER_16_107,VSS,Metal1,67.1520,67.1880,0.000063
FILLER_16_97,VSS,Metal1,59.4130,67.1015,0.000060
FILLER_16_59,VSS,Metal1,36.6800,66.6400,0.000059
FILLER_16_57,VSS,Metal1,35.8400,66.6400,0.000057
FILLER_16_53,VSS,Metal1,33.7800,66.9885,0.000057
FILLER_16_37,VSS,Metal1,24.3600,66.6400,0.000057
FILLER_16_34,VSS,Metal1,22.6800,66.6400,0.000057
FILLER_16_2,VSS,Metal1,12.7640,67.2375,0.000057
FILLER_15_263,VSS,Metal1,152.3730,66.1780,0.000063
FILLER_15_247,VSS,Metal1,145.5520,66.0920,0.000063
FILLER_15_212,VSS,Metal1,122.3600,66.6400,0.000063
FILLER_15_203,VSS,Metal1,117.3200,66.6400,0.000063
FILLER_15_199,VSS,Metal1,115.5400,66.2910,0.000063
FILLER_15_191,VSS,Metal1,112.0530,66.1780,0.000063
FILLER_15_184,VSS,Metal1,106.6800,66.6400,0.000063
FILLER_15_176,VSS,Metal1,103.6530,66.1780,0.000063
FILLER_15_103,VSS,Metal1,61.3200,66.6400,0.000060
FILLER_15_58,VSS,Metal1,36.5800,66.2910,0.000059
FILLER_15_8,VSS,Metal1,8.1200,66.6400,0.000057
FILLER_15_6,VSS,Metal1,7.2800,66.6400,0.000057
FILLER_15_2,VSS,Metal1,5.2200,66.2910,0.000057
FILLER_14_263,VSS,Metal1,152.3730,59.2615,0.000033
FILLER_14_247,VSS,Metal1,145.5520,59.3480,0.000033
FILLER_14_244,VSS,Metal1,140.2800,58.8000,0.000033
FILLER_14_242,VSS,Metal1,139.4400,58.8000,0.000033
FILLER_14_234,VSS,Metal1,136.1330,59.2615,0.000033
FILLER_14_174,VSS,Metal1,101.0800,58.8000,0.000034
FILLER_14_170,VSS,Metal1,99.3000,59.1485,0.000034
FILLER_14_162,VSS,Metal1,95.8130,59.2615,0.000036
FILLER_14_125,VSS,Metal1,73.6400,58.8000,0.000036
FILLER_14_123,VSS,Metal1,72.8000,58.8000,0.000036
FILLER_14_107,VSS,Metal1,67.1520,59.3480,0.000036
FILLER_14_104,VSS,Metal1,61.8800,58.8000,0.000036
FILLER_14_96,VSS,Metal1,58.8530,59.2615,0.000036
FILLER_14_37,VSS,Metal1,25.8130,59.2615,0.000037
FILLER_14_18,VSS,Metal1,14.0000,58.8000,0.000037
FILLER_14_2,VSS,Metal1,8.3520,59.3480,0.000037
FILLER_13_270,VSS,Metal1,154.8400,58.8000,0.000033
FILLER_13_254,VSS,Metal1,149.4720,58.2520,0.000033
FILLER_13_219,VSS,Metal1,126.2800,58.8000,0.000034
FILLER_13_212,VSS,Metal1,122.6400,58.8000,0.000034
FILLER_13_209,VSS,Metal1,120.6800,58.8000,0.000034
FILLER_13_172,VSS,Metal1,99.9600,58.8000,0.000034
FILLER_13_170,VSS,Metal1,99.1200,58.8000,0.000034
FILLER_13_166,VSS,Metal1,97.0600,58.4510,0.000036
FILLER_13_158,VSS,Metal1,93.5730,58.3380,0.000036
FILLER_13_142,VSS,Metal1,86.7520,58.2520,0.000036
FILLER_13_123,VSS,Metal1,72.8000,58.8000,0.000036
FILLER_13_119,VSS,Metal1,70.7400,58.4510,0.000036
FILLER_13_87,VSS,Metal1,60.3640,58.2020,0.000036
FILLER_13_69,VSS,Metal1,42.2800,58.8000,0.000036
FILLER_13_65,VSS,Metal1,40.5000,58.4510,0.000036
FILLER_13_57,VSS,Metal1,37.0130,58.3380,0.000037
FILLER_13_41,VSS,Metal1,30.1920,58.2520,0.000037
